,Address,Listing Type,Asking Price,Bed/Bath Count
0,"25651 York Ct, New Caney, TX 77357",Home for rent,$850/mo,3 bds2 ba-- sqft
1,"6650 Montauk Dr # 1/213, Houston, TX 77084",Townhouse for sale,"$159,000","3 bds3 ba2,156 sqft"
2,"6105 Springwood Dr, Arlington, TX 76001",House for rent,"$1,495/mo","3 bds2 ba1,190 sqft"
3,"8240 Misty Water Dr, Fort Worth, TX 76131",House for rent,"$1,850/mo","4 bds2 ba2,115 sqft"
4,"1101 3rd St, Argyle, TX 76226",House for rent,"$2,995/mo","5 bds4 ba3,466 sqft"
5,"1602 Cliffbrook Dr, Rockwall, TX 75032",House for rent,"$1,945/mo","4 bds2.5 ba2,675 sqft"
6,"5613 Turtle Way, Mckinney, TX 75072",House for rent,"$1,750/mo","3 bds2 ba1,722 sqft"
7,"6923 Sumner St, The Colony, TX 75056",Townhouse for rent,"$1,900/mo","2 bds2.5 ba1,800 sqft"
8,"2013 Cherbourg Dr, Plano, TX 75075",House for rent,"$2,000/mo","4 bds2 ba2,090 sqft"
9,"1101 Wood Creek Cir, Flower Mound, TX 75028",House for rent,"$1,750/mo","3 bds2 ba1,716 sqft"
10,"2681 Clear Springs Ct, Richardson, TX 75082",House for rent,"$2,500/mo","4 bds3 ba2,764 sqft"
11,"6811 Winston Dr, Frisco, TX 75035",Apartment for rent,"$2,160/mo","3 bds2.5 ba2,004 sqft"
12,"7025 Hanging Cliff Pl, Fort Worth, TX 76182",House for rent,"$1,495/mo","3 bds2 ba1,342 sqft"
13,"425 Ashley Ln, Trophy Club, TX 76262",House for rent,"$1,850/mo","3 bds3 ba2,223 sqft"
